kod,рЕЙСЫХИ ЛЕЯЪЖ,prev sells,prev-1 sells,prev-2 sells,prev-3 sells,prev-4 sells,prev-5 sells,prev-6 sells,prev-7 sells,prev-8 sells,prev-9 sells,prev-10 sells,prev-11 sells,prev-12 sells,prev-13 sells,prev-14 sells,prev-15 sells,prev-16 sells,prev-17 sells,prev-18 sells,oldest sells,гЮ ЦНД
жа014069   ,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
жа014070   ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
жа014071   ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
жа014072   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014073   ,0,0,0,0,6,0,2,0,0,4,2,0,0,2,0,0,2,0,2,2,0,16
жа014076   ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
жа014101   ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
жа014112   ,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2
жа014113   ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа014116   ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
жа014117   ,0,1,0,2,2,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,7
жа014118   ,0,2,0,2,4,0,0,2,2,0,0,0,2,0,2,0,2,0,0,0,0,14
жа014119   ,0,16,0,16,32,0,0,16,16,0,16,0,16,0,16,0,16,0,16,0,0,128
жа014132   ,0,5,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,9
жа014133   ,0,2,0,2,2,2,0,0,0,0,0,0,0,4,1,3,0,0,2,0,2,12
жа014134   ,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
жа014143   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014155   ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
жа014168   ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
жа014171   ,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4
жа014185   ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
жа014187   ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа014190   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
жа014191   ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,1
жа014192   ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
жа014193   ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,1
жа014194   ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
жа014195   ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа014197   ,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12
жа014202   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014207   ,0,1,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,2,0,0,0,7
жа014213   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014216   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014217   ,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
жа014218   ,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
жа014219   ,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,16,0,12
жа014221   ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа014232   ,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2
жа014233   ,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4
жа014234   ,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
жа014235   ,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,6
жа014236   ,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
жа014237   ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
жа014240   ,0,4,0,1,0,0,0,16,0,2,8,0,0,0,0,0,0,4,0,0,4,31
жа014248   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014249   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014254   ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
