kod,tsenazakup,tsenarozn
00003384,393.75,850.0
00003385,289.5,850.0
00003386,525.0,950.0
00003387,800.0,2450.0
00003388,1048.5,4750.0
00003389,525.0,950.0
00003390,1000.0,1000.0
00003391,525.0,950.0
00003392,3011.25,6250.0
00003393,908.75,2450.0
00003394,493.5,1250.0
00003395,720.0,1850.0
00003396,,
00003397,809.0,1280.0
00003398,1500.0,1500.0
00003399,76.0,150.0
00003400,233.0,320.0
00003401,18174.0,30000.0
00003402,1000.0,1200.0
00003403,167.93,190.0
00003404,,3950.0
00003405,,4450.0
00003406,1462.0,1900.0
00003408,1162.0,1810.0
00003409,245.0,400.0
00003410,116.0,260.0
00003411,980.0,1640.0
00003412,293.44,640.0
00003413,316.17,540.0
00003414,749.0,1390.0
00003415,525.0,1340.0
00003416,237.0,400.0
00003417,54.0,950.0
00003418,1271.98,2020.0
00003419,300.85,750.0
00003420,182.0,300.0
00003421,1225.0,2500.0
00003422,2462.88,3770.0
00003423,350.0,900.0
00003424,525.0,1350.0
00003425,496.0,1170.0
00003426,1704.3,2740.0
00003427,1021.2,2000.0
00003428,399.0,870.0
00003429,399.0,870.0
00003430,525.0,1350.0
00003431,525.0,1350.0
00003432,665.0,1705.0
00003433,175.0,350.0
00003434,658.0,1690.0
00003436,2100.0,5360.0
00003437,2100.0,5360.0
00003438,74.0,320.0
00003439,412.0,2330.0
00003440,224.0,420.0
00003441,224.0,420.0
00003442,83.0,390.0
00003443,175.0,600.0
00003444,269.0,430.0
00003445,217.35,470.0
00003446,1575.0,2530.0
00003447,5357.0,6800.0
00003448,156.0,310.0
00003449,225.19,400.0
00003451,32.49,70.0
00003452,9500.0,11500.0
00003453,460.0,600.0
00003456,680.0,1100.0
00003457,2270.0,3750.0
00003458,350.0,900.0
00003459,109.0,450.0
00003460,762.29,1200.0
00003461,2386.57,3850.0
00003462,198.0,290.0
00003463,997.25,1530.0
00003464,5867.0,10000.0
00003465,2091.0,3360.0
00003466,806.27,1170.0
00003467,648.0,980.0
00003468,758.54,1250.0
00003469,1070.0,2200.0
00003472,767.0,1500.0
00003473,2281.2,3320.0
00003474,1018.91,1320.0
00003475,1187.52,1660.0
00003476,622.15,985.0
00003478,215.0,450.0
00003479,612.0,850.0
00003480,135.0,340.0
00003481,174.6,340.0
00003482,185.3,310.0
00003483,5075.73,9140.0
00003484,9317.3,14000.0
00003485,4781.0,7170.0
00003486,3444.0,6500.0
00003487,822.63,1760.0
00003488,97.0,200.0
00003489,176.0,400.0
00003490,78.7,160.0
00003491,2109.96,3590.0
00003492,248.72,450.0
00003493,1643.0,2650.0
00003494,131.21,250.0
00003495,49.0,80.0
00003498,4947.68,7650.0
00003499,144.0,320.0
00003500,,
00003501,21.25,40.0
00003503,1963.0,1965.0
00003504,2593.76,3400.0
00003505,929.16,1260.0
00003506,2510.0,3840.0
00003507,1773.0,2570.0
00003508,1318.03,3460.0
00003509,1318.03,3740.0
00003511,1315.0,2110.0
00003512,204.0,300.0
00003513,465.0,600.0
00003514,722.63,1610.0
00003515,1702.06,1705.0
00003516,,2000.0
00003517,,2000.0
00003518,96.72,180.0
00003519,169.8,220.0
00003520,447.18,680.0
00003521,1086.29,2420.0
00003522,645.0,1060.0
00003523,3857.82,6440.0
00003524,399.42,1750.0
00003525,303.03,485.0
00003526,246.0,520.0
00003527,108.0,250.0
00003528,6064.54,9280.0
00003529,1687.12,3070.0
00003530,345.15,650.0
00003531,6064.37,9280.0
00003532,500.0,780.0
00003533,53.98,120.0
00003534,90.85,175.0
00003535,948.75,1425.0
00003536,1633.8,2620.0
00003537,1488.0,3110.0
00003538,1155.99,1880.0
00003539,261.6,420.0
00003540,18.0,30.0
00003541,147.59,640.0
00003542,116.88,210.0
00003543,60.24,110.0
00003544,727.0,950.0
00003545,613.56,990.0
00003546,356.52,570.0
00003547,1924.33,2940.0
00003548,1237.0,1720.0
00003549,1881.0,3100.0
00003550,1881.0,3100.0
00003551,360.0,850.0
00003552,2658.8,2660.0
00003553,672.0,1300.0
00003554,7167.0,11280.0
00003555,1314.51,1970.0
00003556,1458.0,2830.0
00003557,1092.0,1560.0
00003558,220.0,400.0
00003559,5347.2,7000.0
00003560,1837.0,2740.0
00003561,923.7,1330.0
00003562,2334.15,2900.0
00003563,181.0,390.0
00003564,178.0,290.0
00003565,250.0,350.0
00003566,573.9,760.0
00003567,93.31,95.0
00003568,123.3,280.0
00003569,270.0,350.0
00003570,2512.0,4530.0
00003571,8710.66,12650.0
00003572,3455.95,4980.0
00003574,1166.38,1780.0
00003575,3698.51,6320.0
00003576,4639.11,6820.0
00003577,332.89,530.0
00003578,3244.5,5010.0
00003579,6118.7,9180.0
00003580,813.96,1300.0
00003581,1233.6,1700.0
00003582,5881.0,8540.0
00003583,232.0,400.0
00003584,40.0,100.0
00003585,599.0,960.0
00003586,139.0,225.0
00003587,93.0,200.0
00003588,72.0,200.0
00003589,67.11,70.0
00003590,86.69,90.0
00003591,155.34,160.0
00003592,2117.35,2150.0
00003593,572.0,590.0
00003594,326.41,330.0
00003595,608.4,670.0
00003596,3659.3,3660.0
00003597,841.9,1230.0
00003598,713.9,730.0
00003599,3520.31,6260.0
00003600,4216.93,6260.0
00003601,285.0,590.0
00003602,1814.61,2630.0
00003603,704.9,1060.0
00003604,704.61,710.0
00003605,2766.69,4010.0
00003606,167.95,170.0
00003607,890.2,1290.0
00003608,326.41,330.0
00003609,468.55,470.0
00003610,3011.8,5020.0
00003611,3011.8,5020.0
00003612,3239.0,4700.0
00003613,893.23,900.0
00003614,92.0,160.0
00003615,492.84,730.0
00003616,540.43,850.0
00003617,484.0,485.0
00003618,209.76,380.0
00003619,1094.11,1670.0
00003620,1094.11,1670.0
00003621,920.19,1200.0
00003622,818.52,1060.0
00003623,1550.36,2750.0
00003624,108.0,180.0
00003625,109.47,200.0
00003626,3209.0,4490.0
00003627,475.0,1380.0
00003628,104.4,170.0
00003629,1239.0,2400.0
00003630,1057.0,2100.0
00003631,445.0,760.0
00003632,240.0,410.0
00003633,2348.8,5710.0
00003634,1044.9,1780.0
00003637,491.0,810.0
00003638,711.0,1200.0
00003639,2508.8,3840.0
00003640,5000.0,6500.0
00003641,3500.0,4500.0
00003642,1894.0,2570.0
00003643,2043.9,3130.0
00003644,6533.0,10440.0
00003645,289.0,600.0
00003646,261.68,480.0
00003647,10.0,70.0
00003648,2429.0,3720.0
00003649,1409.0,3330.0
00003650,1843.07,3510.0
00003651,1430.55,1450.0
00003652,4176.0,6600.0
00003653,200.6,360.0
00003654,184.8,300.0
00003655,269.0,270.0
00003656,219.38,290.0
00003657,323.89,530.0
00003658,1479.0,2150.0
00003659,253.0,370.0
00003660,3614.0,4700.0
00003661,3614.0,4700.0
00003662,684.68,1050.0
00003663,6075.0,9485.0
00003664,2282.23,3490.0
00003665,322.0,640.0
00003666,1899.6,2850.0
00003667,1933.89,3190.0
00003668,1933.89,3190.0
00003669,527.0,690.0
00003670,215.9,360.0
00003673,2788.0,4180.0
00003674,336.86,560.0
00003675,719.43,1150.0
00003676,191.0,320.0
00003677,667.0,970.0
00003678,12.35,30.0
00003679,4352.12,8420.0
00003680,697.0,1100.0
00003681,393.84,590.0
00003682,25.0,50.0
00003683,3731.47,7790.0
00003684,58.44,120.0
00003685,369.88,570.0
00003687,206.0,360.0
00003688,163.0,360.0
00003689,2895.13,3820.0
00003690,368.19,830.0
00003691,245.47,580.0
00003692,3731.47,7790.0
00003693,563.0,1210.0
00003694,3209.33,4910.0
00003695,1510.66,2420.0
00003696,204.3,400.0
00003697,1880.0,3000.0
00003698,560.0,850.0
00003699,2677.2,4420.0
00003700,690.0,1250.0
00003702,150.92,250.0
00003703,150.0,290.0
00003704,175.5,340.0
00003705,144.9,250.0
00003706,854.0,1700.0
00003707,1420.44,2720.0
00003708,1639.0,2510.0
00003709,655.0,990.0
00003710,37.0,90.0
00003711,185.0,360.0
00003712,2402.0,4000.0
00003713,176.42,270.0
00003714,113.0,170.0
00003715,219.17,380.0
00003716,250.85,460.0
00003717,127.2,170.0
00003718,852.81,1110.0
00003719,3663.46,5860.0
00003720,680.0,950.0
00003721,392.7,670.0
00003722,2014.0,2670.0
00003723,,
00003724,2840.99,4380.0
00003725,200.0,300.0
00003726,75.0,150.0
00003727,240.69,450.0
00003728,7236.37,9700.0
00003729,171.0,350.0
00003730,200.0,350.0
00003731,787.0,800.0
00003732,686.0,700.0
00003733,2354.03,3770.0
00003734,990.09,1290.0
00003735,344.6,550.0
00003736,584.5,990.0
00003737,971.0,1710.0
00003738,2153.46,3300.0
00003740,306.25,500.0
00003742,927.86,1700.0
00003743,373.46,570.0
00003744,478.0,750.0
00003745,650.44,1010.0
00003746,1184.0,1970.0
00003748,239.4,385.0
00003749,660.0,1080.0
00003750,2437.02,3540.0
00003751,125.0,210.0
00003752,479.36,1070.0
00003753,717.32,1110.0
00003754,1300.0,1790.0
00003755,30.0,100.0
00003756,408.1,410.0
00003757,796.21,1070.0
00003758,4413.7,4450.0
00003759,,4550.0
00003760,881.0,1150.0
00003761,77.97,120.0
00003762,2444.8,3650.0
00003763,753.0,1160.0
00003764,273.18,490.0
00003765,4500.0,8230.0
00003766,1291.96,2130.0
00003767,450.08,690.0
00003768,325.09,550.0
00003769,92.36,180.0
00003770,1324.4,1985.0
00003771,994.0,995.0
00003772,75.81,170.0
00003773,650.0,1150.0
00003774,607.48,1000.0
00003775,595.0,1020.0
00003776,1875.0,3750.0
00003777,1425.0,2000.0
00003778,3356.0,4970.0
00003779,342.0,710.0
00003780,10651.0,13850.0
00003781,,22450.0
00003782,336.0,490.0
00003783,585.26,940.0
00003784,567.0,570.0
00003785,1280.5,2710.0
00003786,949.0,1910.0
00003787,949.0,1910.0
00003788,1674.66,2650.0
00003790,154.85,300.0
00003791,2806.72,4290.0
00003792,190.94,320.0
00003793,1378.95,2650.0
00003794,633.05,1080.0
00003795,423.53,750.0
00003796,183.52,370.0
00003797,644.87,645.0
00003798,973.0,1400.0
00003800,12.6,30.0
00003801,26459.0,33000.0
00003802,451.95,800.0
00003803,513.5,950.0
00003804,983.61,985.0
00003805,246.4,390.0
00003806,1332.0,1335.0
00003807,387.0,390.0
00003808,293.0,300.0
00003809,349.0,560.0
00003810,225.49,400.0
00003811,914.51,1190.0
00003812,504.54,770.0
00003813,402.45,670.0
00003814,3600.0,5130.0
00003815,410.0,660.0
00003816,301.34,530.0
00003817,661.0,1350.0
00003818,309.0,600.0
00003819,1483.0,2270.0
00003820,274.0,275.0
00003821,212.0,275.0
00003822,9.0,10.0
00003823,231.0,350.0
00003824,1364.1,2090.0
00003825,314.6,520.0
00003826,310.0,500.0
00003827,510.0,660.0
00003828,1571.0,2400.0
00003829,392.0,400.0
00003830,2903.12,2905.0
00003831,384.72,710.0
00003832,684.38,1090.0
00003833,1914.0,2570.0
00003834,4033.12,5950.0
00003835,10556.4,15000.0
00003836,399.0,1400.0
00003837,1915.0,1930.0
00003838,1318.0,2020.0
00003839,1905.69,1910.0
00003840,267.0,450.0
00003842,344.3,560.0
00003843,14.62,40.0
00003844,2378.2,2480.0
00003845,590.0,620.0
00003846,210.0,390.0
00003847,1190.0,3060.0
00003848,2560.0,3000.0
00003849,2560.0,3000.0
00003850,791.25,1260.0
00003852,875.8,1360.0
00003853,267.0,425.0
00003854,335.0,650.0
00003855,1250.42,2160.0
00003856,514.0,670.0
00003857,1481.63,2530.0
00003858,855.86,1750.0
00003859,531.48,580.0
00003860,40.0,120.0
00003861,189.33,340.0
00003862,3499.0,5500.0
00003863,,
00003864,376.0,600.0
00003865,427.5,750.0
00003866,498.42,890.0
00003867,651.03,1000.0
00003868,15965.0,23000.0
00003869,2110.08,3540.0
00003870,823.0,1190.0
00003871,,250.0
00003872,1776.88,5100.0
00003873,2656.01,5100.0
00003874,262.2,470.0
00003875,293.0,530.0
00003876,2501.0,4730.0
00003877,3602.4,9800.0
00003878,18.4,50.0
00003879,664.23,1100.0
00003880,1318.26,2350.0
00003881,1464.98,2350.0
00003882,933.66,1400.0
00003883,1789.24,2700.0
00003884,919.36,2650.0
00003885,1350.0,2000.0
00003886,2768.78,4800.0
00003887,1200.0,1500.0
00003888,227.89,390.0
00003889,74.35,140.0
00003890,265.0,425.0
00003891,201.43,360.0
00003892,318.5,510.0
00003893,713.0,1240.0
00003894,180.0,290.0
00003895,2606.59,4800.0
00003896,300.0,450.0
00003897,142.5,230.0
00003898,2005.64,5100.0
00003899,1296.75,2300.0
00003900,191.6,440.0
00003901,363.16,750.0
00003902,560.0,900.0
00003903,285.0,500.0
