kod;artikul;proizvoditel;edizm;datasozdanija;roditel;osnsklad;zakazy_sklad;tsenazakup;tsenarozn;gruppa_analogov;type_detail
00003051;665030052A;SsangYong;компл;2022-03-04;Шатунно-поршневая группа;1;0;2316.0;4050.0;ATWRAXQ1CD;кольца поршневые
00003052;2304041400n;RIK;компл;2022-03-04;Шатунно-поршневая группа;1;0;2750.0;8315.0;1HEPKO8LB2;кольца поршневые
00003053;40330004;SWAG;шт;2022-03-04;Головка блока цилиндров (ГБЦ) и комплектующие;8;0;275.0;740.0;PEQ60REDK9;коромысло клапана гбц
00003054;T5675X;TOYO;шт;2022-03-04;Кардан и составляющие;1;0;2555.0;6525.0;2NCEWUZU75;крестовина
00003055;986103E300;HyundaiKia;шт;2022-03-07;Омыватель;1;0;685.0;4725.0;;бачок омывателя лобового стекла
00003056;W6018;Mann;шт;2022-03-07;0;0;0;1023.0;1025.0;;фильтр масляный
00003057;AG352CF;Goodwill;шт;2022-03-07;0;0;0;332.0;335.0;;фильтр воздушный салонный
00003058;C23018;Mann;шт;2022-03-07;0;0;0;1263.0;1265.0;;фильтр воздушный
00003059;OC1051A;Knecht;шт;2022-03-07;0;0;0;347.0;350.0;;фильтр масляный
00003060;C16134/2;Mann;шт;2022-03-07;0;0;0;1187.0;1190.0;;фильтр воздушный
00003061;CU2440;Mann;шт;2022-03-07;0;0;0;870.0;870.0;;фильтр воздушный салонный
00003062;OX404D;Knecht;шт;2022-03-07;0;0;0;1610.4;1615.0;CCBKXJI9RU;фильтр масляный
00003063;C37009;Mann;шт;2022-03-07;0;0;0;3415.24;3420.0;;фильтр воздушный
00003064;09992511;Brembo;шт;2022-03-07;0;0;0;8554.1;8555.0;;диск тормозной задний
00003065;PN0228;Nibk;компл;2022-03-09;0;0;0;4357.82;4360.0;XB66XJ91GA;колодки тормозные задний
00003066;1884410060;HyundaiKia;шт;2022-03-10;Свеча зажигания;12;0;825.44;1280.0;R6SVY50RRJ;свеча зажигания
00003067;1884111051;HyundaiKia;шт;2022-03-10;Свеча зажигания;20;0;441.32;680.0;MQGNC939DT;свеча зажигания
00003068;6376;NGK;шт;2022-03-10;Свеча зажигания;8;0;332.5;610.0;MQGNC939DT;свеча зажигания
00003069;-;0;шт;2022-03-10;Реле;1;0;165.0;360.0;;сервис реле силовое
00003071;0242229657;Bosch;шт;2022-03-11;Свеча зажигания;4;0;31.5;410.0;;свеча зажигания
00003072;W20EPRU;Denso;шт;2022-03-11;Свеча зажигания;4;0;200.63;290.0;;свеча зажигания
00003073;WR8DCX;Bosch;шт;2022-03-11;Свеча зажигания;8;0;115.5;380.0;;свеча зажигания
00003074;XU22HDR9;Denso;шт;2022-03-11;Свеча зажигания;0;0;87.5;650.0;R6SVY50RRJ;свеча зажигания
00003075;3008;Denso;шт;2022-03-11;Свеча зажигания;0;0;228.92;370.0;K30EBVB4I3;свеча зажигания
00003076;3479;Denso;шт;2022-03-11;Свеча зажигания;0;0;971.0;2500.0;;свеча зажигания
