,kod,data,kolichestvo
409,ЦБ004465,2022-01-24 15:54:35,1
411,00002919,2022-01-24 15:56:54,8
412,ЦБ010660,2022-01-24 15:56:54,2
413,ЦБ013137,2022-01-24 15:56:54,16
414,ЦБ013212,2022-01-24 15:56:54,4
419,ЦБ014536,2022-01-24 15:56:54,1
421,ЦБ012952,2022-01-24 15:56:54,4
422,ЦБ001551,2022-01-24 15:56:54,16
424,ЦБ015748,2022-01-24 15:56:54,5
425,ЦБ015749,2022-01-24 15:56:54,5
427,ЦБ021335,2022-01-24 16:01:30,10
428,ЦБ010338,2022-01-24 16:01:30,10
429,ЦБ001155,2022-01-24 16:01:30,2
430,ЦБ021298,2022-01-24 16:00:41,1
431,ЦБ021299,2022-01-24 16:00:41,1
432,ЦБ004820,2022-01-24 16:00:41,8
433,ЦБ001038,2022-01-24 16:00:41,1
435,ЦБ016964,2022-01-24 16:00:41,1
436,ЦБ008061,2022-01-24 16:00:41,2
437,ЦБ002102,2022-01-24 16:00:41,1
438,ЦБ022540,2022-01-24 16:00:41,2
439,ЦБ019310,2022-01-24 16:00:41,4
440,ЦБ021366,2022-01-24 16:00:41,20
441,ЦБ018759,2022-01-24 16:00:41,7
442,ЦБ009264,2022-01-25 15:46:03,3
443,ЦБ007229,2022-01-25 15:46:03,2
444,ЦБ023542,2022-01-25 15:46:03,1
445,ЦБ003949,2022-01-25 15:46:03,3
446,ЦБ013644,2022-01-25 15:46:03,1
447,ЦБ008381,2022-01-25 15:46:03,1
448,ЦБ017004,2022-01-25 15:46:03,1
450,ЦБ012747,2022-01-25 15:46:03,80
451,ЦБ015751,2022-01-25 15:46:03,2
454,00002934,2022-01-28 15:45:35,16
457,00002926,2022-01-26 15:16:19,1
458,00002927,2022-01-26 15:16:19,1
459,ЦБ006770,2022-01-26 14:27:54,1
460,ЦБ021195,2022-01-26 14:27:54,2
461,ЦБ008055,2022-01-26 14:27:54,1
462,ЦБ006263,2022-01-26 14:27:54,1
463,ЦБ020786,2022-01-26 14:27:54,2
464,ЦБ003982,2022-01-27 10:31:53,16
466,ЦБ006240,2022-01-27 10:31:53,10
467,ЦБ006644,2022-01-27 10:31:53,4
468,ЦБ019840,2022-01-27 10:31:53,2
469,ЦБ017729,2022-01-27 10:31:53,1
472,ЦБ002592,2022-01-27 10:31:53,5
474,ЦБ019107,2022-01-27 11:24:50,1
475,ЦБ019794,2022-01-27 11:24:50,1
476,ЦБ022539,2022-01-27 11:24:50,1
477,ЦБ019309,2022-01-27 11:24:50,2
479,ЦБ003381,2023-04-13 15:05:33,20
481,ЦБ017793,2022-03-02 12:27:16,5
483,ЦБ022493,2022-01-25 17:52:40,2
484,ЦБ006569,2022-01-25 17:52:40,1
485,ЦБ002716,2022-01-25 17:52:40,5
487,ЦБ018789,2022-01-25 17:52:40,2
488,00002923,2022-01-25 17:52:40,1
491,ЦБ007953,2022-01-25 17:52:40,4
494,ЦБ020831,2022-01-25 17:52:40,1
499,ЦБ007513,2022-01-25 17:52:40,1
502,ЦБ023025,2022-01-25 17:52:40,2
504,ЦБ017872,2022-03-01 17:23:37,2
505,ЦБ019719,2022-01-25 17:52:40,1
506,ЦБ019720,2022-01-25 17:52:40,1
507,ЦБ008380,2022-01-25 17:52:40,2
509,ЦБ011238,2022-01-25 17:52:40,3
510,ЦБ001759,2022-01-25 17:52:40,2
511,ЦБ021507,2022-02-25 17:07:31,60
512,ЦБ003911,2022-01-26 14:19:06,2
513,ЦБ010925,2022-01-26 14:19:06,1
514,ЦБ023548,2022-01-26 14:19:06,2
516,ЦБ014426,2022-01-26 14:19:06,1
519,ЦБ018668,2022-01-26 14:19:06,2
520,ЦБ002093,2022-01-26 14:19:06,1
521,ЦБ010966,2022-01-26 14:19:06,10
522,ЦБ018971,2022-01-26 14:19:06,2
523,ЦБ020075,2022-01-26 14:19:06,40
524,ЦБ006683,2022-01-26 14:19:06,2
525,ЦБ020344,2022-01-26 14:19:06,10
526,ЦБ004935,2022-01-26 14:19:06,3
528,ЦБ008896,2022-01-25 18:00:29,2
533,ЦБ019014,2022-01-25 17:59:13,1
534,ЦБ014917,2022-01-25 17:59:13,1
535,00002925,2022-01-25 17:59:13,8
536,ЦБ011801,2022-01-25 17:59:13,12
537,ЦБ010329,2022-01-25 17:59:13,18
538,ЦБ006683,2022-01-25 17:59:13,1
539,ЦБ017003,2022-01-25 17:59:13,2
541,ЦБ019749,2022-01-25 17:59:13,3
544,ЦБ002851,2022-01-25 17:59:13,5
545,ЦБ019728,2022-03-28 14:08:33,4
546,00003195,2022-03-28 14:08:33,1
547,ЦБ019974,2022-01-26 14:19:06,2
548,ЦБ003927,2022-01-26 14:19:06,40
549,ЦБ002250,2022-01-26 14:19:06,10
550,ЦБ003067,2022-01-26 15:55:09,2
551,ЦБ020177,2022-03-28 14:08:33,4
554,00002930,2022-01-26 16:37:47,4
556,ЦБ005368,2022-01-26 11:39:41,40
557,ЦБ010136,2022-01-26 11:39:41,1
561,ЦБ010756,2022-01-26 11:39:41,3
562,ЦБ021419,2022-01-26 11:39:41,2
564,ЦБ021681,2022-01-26 11:39:41,5
565,ЦБ009643,2022-01-26 11:39:41,1
567,ЦБ019582,2022-01-26 15:50:45,2
568,00002928,2022-01-26 15:50:45,1
569,ЦБ006682,2022-01-26 15:50:45,2
571,ЦБ023294,2022-04-07 12:56:14,1
572,ЦБ001267,2022-03-15 09:01:05,72
573,ЦБ018468,2022-03-28 12:50:14,2
574,ЦБ022800,2022-03-28 16:02:06,2
576,ЦБ022161,2022-03-28 16:02:06,1
579,ЦБ023201,2022-03-18 18:01:08,1
586,ЦБ017311,2022-02-08 14:14:21,1
587,ЦБ015048,2022-02-08 14:14:21,3
588,ЦБ018401,2022-02-08 14:14:21,1
590,ЦБ022832,2022-01-27 16:47:41,2
592,ЦБ021875,2022-01-27 16:47:41,1
593,ЦБ021925,2022-01-27 16:47:41,2
597,ЦБ022396,2022-01-27 16:47:41,3
598,ЦБ023083,2022-01-27 16:47:41,6
599,ЦБ023340,2022-01-27 16:47:41,1
602,ЦБ023132,2022-01-27 16:47:41,1
603,ЦБ010900,2022-01-27 16:47:41,2
604,ЦБ022824,2022-01-27 16:47:41,2
605,ЦБ022547,2022-01-27 16:47:41,2
606,00003203,2022-03-28 16:02:06,2
607,00003196,2022-03-28 16:02:06,1
609,ЦБ020508,2022-03-18 16:58:08,4
610,ЦБ004555,2022-02-22 14:47:15,1
611,ЦБ012463,2022-02-22 14:47:15,1
